term,fee,gender,job,package,age,family,payment,income_log,isna_job,married_1,married_2,married_3
27,100000.0,1,0,1,35,1,0,13.217668102648323,False,True,False,False
50,120000.0,1,0,1,34,2,0,13.304686600863562,False,True,False,False
94,105588.26,0,1,0,35,0,0,13.592358256611783,False,True,False,False
65,172385.68,0,1,0,39,3,0,13.458831328302072,False,True,False,False
17,141846.64,1,1,0,44,3,2,13.122349377306328,False,True,False,False
45,200000.0,0,0,1,50,3,0,13.458831328302072,False,True,False,False
27,100000.0,1,0,1,69,1,0,14.10319258678548,False,True,False,False
95,102196.2,1,0,0,42,0,0,13.122349377306328,False,True,False,False
38,124000.0,0,0,1,46,3,0,12.301369188877887,False,True,False,False
17,135165.12,1,1,0,61,3,1,13.122349377306328,False,True,False,False
17,121195.32,1,0,0,33,1,1,13.815507557959775,False,True,False,False
86,120556.2,1,0,0,39,0,1,14.10319258678548,False,True,False,False
43,100000.0,1,0,1,41,0,2,12.765702719077842,False,False,True,False
71,150000.07,1,1,0,34,3,0,12.563736600236485,False,True,False,False
64,251286.35,1,0,0,41,1,0,14.603966554691251,False,True,False,False
17,120639.6,1,0,0,50,0,1,14.220976332738882,False,True,False,False
29,113125.0,1,0,1,45,2,0,17.04235459216419,False,True,False,False
12,120000.96,1,0,1,29,1,1,12.524544558301603,False,True,False,False
9,100000.0,1,0,1,56,3,0,13.815507557959775,False,True,False,False
27,100000.0,1,0,1,55,3,0,14.220976332738882,False,True,False,False
17,200000.0,1,0,1,42,2,3,13.122373377354329,False,True,False,False
12,200000.0,1,1,1,55,2,0,13.304686600863562,False,True,False,False
12,100000.0,1,0,1,62,1,0,12.611541086966115,False,True,False,False
12,120000.96,1,1,1,39,1,1,13.017005083966255,False,True,False,False
32,100000.0,0,0,1,62,2,0,13.815507557959775,False,True,False,False
44,104364.52,1,0,0,60,0,0,13.384716872583063,False,False,False,False
17,100000.38,1,1,0,63,1,3,13.304686600863562,False,True,False,False
95,215435.15,1,4,0,50,0,0,13.263864675787632,False,True,False,False
27,199999.79,1,0,0,27,0,0,13.592358256611783,False,False,True,False
17,375000.0,0,1,1,43,2,0,13.910814374111988,False,True,False,False
14,100000.0,0,3,1,70,1,0,13.753631962751733,False,True,False,False
12,100000.0,1,0,1,50,3,0,12.611541086966115,False,True,False,False
56,100000.0,0,0,1,38,2,0,13.122373377354329,False,True,False,False
49,100000.0,1,0,1,36,2,3,12.793862088206213,False,True,False,False
22,100000.0,0,5,1,72,2,3,13.208096151615411,False,True,False,False
17,116465.28,1,5,0,68,3,1,13.208096151615411,False,True,False,False
12,180000.0,1,1,1,42,2,0,12.429204196772384,False,True,False,False
46,100000.0,1,0,1,38,1,0,12.899212326061994,False,True,False,False
22,103089.84,1,0,0,44,2,0,15.607270193858982,False,True,False,False
9,250000.0,1,0,1,33,3,0,13.527829818844937,False,True,False,False
101,118329.36,1,0,0,33,0,1,13.981022454065734,False,True,False,False
43,100000.0,1,0,1,41,1,0,13.122373377354329,False,True,False,False
27,999999.83,0,1,0,65,0,0,15.32090197992008,False,True,False,False
67,100000.0,1,0,1,21,0,3,12.611541086966115,False,False,True,False
22,119999.64,1,0,0,37,3,1,12.429204196772384,False,True,False,False
27,100000.0,1,0,1,50,3,0,13.910825283212814,False,True,False,False
87,150000.35,0,1,0,79,0,0,12.899212326061994,False,True,False,False
49,250000.0,1,0,1,74,3,2,14.10319258678548,False,True,False,False
12,100002.72,1,0,1,49,1,1,12.388398368982115,False,True,False,False
73,516019.61,1,1,0,30,0,0,12.206037644917659,False,False,True,False
27,122823.72,0,3,0,56,1,1,13.753631962751733,False,True,False,False
22,180005.76,1,0,0,19,0,1,12.899212326061994,False,False,True,False
17,103096.57,1,0,0,52,1,0,13.710151153416941,False,True,False,False
27,200000.0,1,0,1,48,2,3,14.038648509262805,False,True,False,False
37,100000.0,0,0,1,58,2,0,12.765668433265594,False,True,False,False
17,100000.0,1,0,1,30,0,0,13.304686600863562,False,False,True,False
17,122470.92,0,1,0,63,3,1,13.038975246704881,False,True,False,False
17,124258.8,1,0,0,45,0,1,14.508654238518094,False,True,False,False
58,150000.0,1,0,1,36,2,0,12.611541086966115,False,True,False,False
12,152625.05,1,4,1,56,1,0,13.527829818844937,False,True,False,False
32,101017.07,1,0,0,40,3,0,14.914123179965662,False,True,False,False
27,110000.0,1,0,1,24,0,0,12.765702719077842,False,False,True,False
12,100000.0,1,4,1,46,3,0,12.899212326061994,False,True,False,False
59,100000.0,1,0,1,24,0,2,12.611541086966115,False,False,True,False
27,150000.0,1,0,1,28,3,0,12.206097645217678,False,True,False,False
12,100000.0,1,5,1,66,3,0,13.208096151615411,False,True,False,False
32,119989.92,0,0,0,39,0,1,12.388398368982115,False,False,True,False
90,100000.1,1,1,0,43,0,0,13.017005083966255,False,True,False,False
17,119966.88,0,0,0,53,0,1,13.458831328302072,False,False,True,False
17,246268.91,1,0,0,51,2,0,13.592358256611783,False,True,False,False
12,100001.0,0,1,1,46,1,0,13.78874041379889,False,True,False,False
27,199999.96,1,0,0,55,1,3,13.710151153416941,False,True,False,False
12,100000.0,1,4,1,47,2,0,12.793862088206213,False,True,False,False
12,100000.0,1,0,1,57,3,0,14.508654238518094,False,True,False,False
42,250000.0,1,0,1,53,3,0,13.815507557959775,False,True,False,False
17,124809.0,0,1,0,56,0,1,13.122349377306328,False,True,False,False
17,132783.62,0,5,0,66,1,3,13.208096151615411,False,True,False,False
22,199998.96,0,1,0,50,2,2,12.899212326061994,False,True,False,False
17,100000.0,1,0,1,25,2,0,13.122349377306328,False,True,False,False
76,100514.7,1,0,0,27,0,0,12.67609189965384,False,False,True,False
22,200000.28,1,1,0,54,1,2,13.458831328302072,False,True,False,False
37,100000.0,1,0,1,48,3,3,12.611541086966115,False,True,False,False
12,200000.0,1,4,1,19,0,0,12.899212326061994,False,False,True,False
17,100000.0,1,0,1,27,0,3,12.821250176479428,False,False,True,False
43,120000.0,1,0,1,42,2,1,13.592358256611783,False,True,False,False
67,100513.25,1,0,0,38,2,0,12.765702719077842,False,True,False,False
12,500000.0,1,0,1,25,0,0,13.304686600863562,False,False,True,False
42,100000.0,1,0,1,13,1,0,14.10319258678548,False,True,False,False
35,150000.0,1,0,1,49,0,3,13.815507557959775,False,False,True,False
17,150772.03,0,0,0,59,0,0,14.10319258678548,False,True,False,False
17,154656.36,0,5,0,57,3,3,13.208096151615411,False,True,False,False
36,100000.0,0,3,1,58,1,0,13.753631962751733,False,True,False,False
27,119999.64,0,0,0,41,1,1,13.304686600863562,False,True,False,False
12,200000.0,1,0,1,40,3,0,15.319588176962746,False,True,False,False
22,239999.74,0,5,0,76,0,0,13.208096151615411,False,True,False,False
50,180000.0,1,0,1,45,1,1,12.206097645217678,False,True,False,False
12,252200.0,1,0,1,63,0,0,13.122349377306328,False,True,False,False
12,441249.0,1,1,1,37,0,0,13.122349377306328,False,False,True,False
43,120000.0,1,0,1,41,2,0,13.122373377354329,False,True,False,False
27,100000.0,1,0,1,51,2,0,12.611541086966115,False,True,False,False
12,100002.0,0,0,1,60,0,0,13.384735334149926,False,False,True,False
12,100000.0,1,0,1,40,3,0,12.429204196772384,False,True,False,False
12,120000.84,1,0,1,59,3,1,13.304686600863562,False,True,False,False
74,195006.8,1,1,0,86,0,0,13.997832948091215,False,True,False,False
84,150001.44,1,0,0,60,0,0,13.592358256611783,False,True,False,False
17,206182.09,0,1,0,29,1,0,12.765668433265594,False,True,False,False
12,3200000.0,1,0,1,17,0,0,18.2976768394975,False,True,False,False
12,200000.0,1,0,1,60,2,3,12.899212326061994,False,True,False,False
97,176605.31,1,5,0,73,0,0,13.208096151615411,False,True,False,False
27,100000.0,1,0,1,36,3,3,12.611541086966115,False,True,False,False
56,142169.36,1,1,0,48,2,0,13.815507557959775,False,True,False,False
12,5000000.0,1,0,1,10,3,0,14.10319258678548,False,True,False,False
12,150000.0,1,0,1,48,0,0,14.220976332738882,False,True,False,False
17,100000.0,0,3,1,50,2,0,13.753631962751733,False,True,False,False
12,250000.0,0,0,1,36,1,0,13.815507557959775,False,True,False,False
22,185550.84,1,0,0,33,2,1,13.710151153416941,False,True,False,False
12,120000.0,1,0,1,44,2,0,12.822028258384783,False,True,False,False
17,244128.67,1,5,0,60,1,0,13.208096151615411,False,True,False,False
12,200000.0,0,4,1,62,2,0,13.07106376720736,False,True,False,False
17,599909.52,1,1,0,35,3,1,13.50079570352709,False,True,False,False
68,100000.0,1,0,1,25,0,0,13.122373377354329,False,False,True,False
12,1000000.0,1,1,1,60,0,0,14.914123179965662,False,True,False,False
49,100515.36,1,0,0,56,1,3,12.429204196772384,False,True,False,False
71,411437.44,1,1,0,63,2,0,14.508654238518094,False,True,False,False
44,500000.0,1,0,1,50,0,0,13.815507557959775,False,False,True,False
76,121966.92,1,0,0,27,0,1,13.017005083966255,False,False,True,False
12,200000.0,0,0,1,23,0,0,14.137594781770806,False,False,True,False
17,100000.0,1,0,1,24,0,0,13.304686600863562,False,False,True,False
19,100000.0,1,0,1,37,3,0,14.10319258678548,False,True,False,False
66,127445.25,1,0,0,39,0,0,13.122373377354329,False,False,False,False
51,108000.0,1,0,1,44,1,1,13.652988099048507,False,True,False,False
22,162092.47,1,0,1,25,3,0,13.623139877437296,False,True,False,False
12,100000.0,1,0,1,49,0,0,12.84793968951074,False,False,True,False
12,102000.0,1,0,1,25,0,1,13.122373377354329,False,False,True,False
85,200000.5,1,5,0,79,0,0,13.208096151615411,False,True,False,False
12,100000.0,0,0,1,35,3,0,14.648416637416485,False,True,False,False
12,200000.0,1,0,1,72,0,0,14.10319258678548,False,True,False,False
12,150000.0,0,0,1,44,3,0,13.458831328302072,False,True,False,False
12,110532.84,1,1,1,37,3,1,13.304686600863562,False,True,False,False
17,123723.12,1,0,0,55,2,1,13.304686600863562,False,True,False,False
12,100000.0,1,1,1,36,1,0,13.458831328302072,False,True,False,False
22,150000.03,1,0,1,41,3,0,14.065613029900472,False,True,False,False
30,504004.08,1,0,1,55,1,1,14.914123179965662,False,True,False,False
45,120000.96,1,0,1,39,2,1,13.217668102648323,False,True,False,False
12,300000.0,1,0,1,35,0,0,14.220976332738882,False,False,True,False
22,247391.28,1,0,0,40,0,1,13.815507557959775,False,False,True,False
31,100002.0,1,5,1,64,1,0,13.208096151615411,False,True,False,False
17,108897.06,1,1,0,52,2,0,13.592358256611783,False,True,False,False
12,255000.0,1,0,1,40,3,3,13.592358256611783,False,True,False,False
12,150000.0,1,0,1,34,3,0,13.458831328302072,False,True,False,False
32,100000.79,1,1,0,24,0,0,13.122349377306328,False,False,True,False
22,103092.6,0,0,0,62,2,2,13.304686600863562,False,True,False,False
12,150000.0,1,5,1,72,3,3,13.208096151615411,False,True,False,False
27,120000.96,1,0,1,52,0,1,14.10319258678548,False,True,False,False
27,100000.0,1,0,1,40,2,0,12.542534167808274,False,True,False,False
27,120000.0,1,0,1,61,0,3,14.10319258678548,False,True,False,False
17,263977.44,0,0,0,46,1,1,13.592358256611783,False,True,False,False
22,100000.44,0,0,0,53,0,0,14.731800089837709,False,False,True,False
17,128500.92,1,0,0,41,1,1,13.122349377306328,False,True,False,False
52,100000.0,1,0,1,42,2,3,13.997832948091215,False,True,False,False
17,100533.04,1,1,0,64,0,0,12.899212326061994,False,True,False,False
17,124198.92,1,0,0,48,1,1,13.815507557959775,False,True,False,False
101,100096.51,0,0,0,37,0,0,12.100717685412471,False,True,False,False
36,360000.0,1,0,1,48,2,1,12.899212326061994,False,True,False,False
12,100000.8,0,0,1,45,1,1,13.122373377354329,False,True,False,False
27,100000.0,1,0,1,53,0,0,14.10319258678548,False,True,False,False
17,100000.68,1,0,1,42,2,1,14.508660238521095,False,True,False,False
78,101515.2,1,0,0,59,0,3,14.10319258678548,False,True,False,False
17,100008.03,1,5,0,66,0,0,13.208096151615411,False,True,False,False
17,276415.05,1,0,0,38,2,0,14.10319258678548,False,True,False,False
22,100000.0,1,0,1,47,1,0,13.304686600863562,False,True,False,False
33,120000.0,1,0,1,62,1,1,13.304686600863562,False,True,False,False
27,100000.0,0,0,1,50,3,0,12.611541086966115,False,True,False,False
17,309271.68,1,0,0,51,0,1,13.815507557959775,False,True,False,False
27,110000.0,0,0,1,46,2,3,13.122373377354329,False,True,False,False
12,120000.96,1,0,1,41,3,1,13.710151153416941,False,True,False,False
17,199867.0,0,5,0,86,1,3,13.208096151615411,False,True,False,False
54,100000.0,1,0,1,40,1,2,12.611541086966115,False,True,False,False
12,100000.0,1,0,1,37,0,0,14.457362865188054,False,False,True,False
12,100000.0,1,0,1,51,3,0,12.611541086966115,False,True,False,False
12,100000.0,1,0,1,63,2,2,13.2357009912429,False,True,False,False
17,312500.16,0,1,0,60,1,0,14.914123179965662,False,True,False,False
37,199980.0,0,0,1,48,2,0,13.592373256630534,False,True,False,False
38,150000.0,1,0,1,56,1,1,13.384735334149926,False,True,False,False
64,120000.0,1,0,1,26,3,1,14.10319258678548,False,True,False,False
9,129354.0,1,0,1,46,3,0,13.815507557959775,False,True,False,False
12,250000.0,0,0,1,45,1,0,12.765702719077842,False,True,False,False
12,100000.0,1,4,1,47,3,0,14.220976332738882,False,True,False,False
12,100000.0,0,0,1,49,1,0,12.67609189965384,False,True,False,False
22,100000.0,1,0,1,36,2,3,12.899212326061994,False,True,False,False
89,100969.23,0,1,0,39,0,0,12.592113654691262,False,True,False,False
12,100000.0,1,0,1,46,3,3,12.976183182038383,False,True,False,False
17,196996.26,0,3,0,78,2,0,13.753631962751733,False,True,False,False
37,200000.0,1,0,1,57,2,0,13.997832948091215,False,True,False,False
17,121642.2,0,3,0,55,1,1,13.753631962751733,False,True,False,False
86,101550.0,1,0,0,47,0,0,14.10319258678548,False,True,False,False
12,150000.0,0,0,1,61,3,0,13.815507557959775,False,True,False,False
22,600001.76,0,5,0,84,0,2,13.208096151615411,False,True,False,False
32,250000.26,1,1,0,69,0,0,13.83531416565213,False,True,False,False
55,100000.0,0,3,1,39,3,3,13.753631962751733,False,True,False,False
59,100017.6,0,0,0,45,0,1,13.270778210095433,False,False,False,True
17,119997.84,0,0,0,46,1,1,13.122349377306328,False,True,False,False
17,100000.0,1,0,1,47,1,0,14.10319258678548,False,True,False,False
12,145000.0,1,1,1,47,2,0,11.51289546452022,False,True,False,False
27,150000.0,1,0,1,37,3,0,13.815507557959775,False,True,False,False
22,150000.0,1,0,1,49,1,0,13.122373377354329,False,True,False,False
17,100000.43,1,1,0,44,3,0,13.122349377306328,False,True,False,False
12,200000.0,1,0,1,28,0,0,13.217668102648323,False,False,True,False
22,103079.46,0,3,0,37,1,3,13.753631962751733,False,True,False,False
12,200000.0,1,0,1,60,2,0,14.914123179965662,False,True,False,False
64,100000.8,1,0,1,18,0,1,13.122373377354329,False,False,True,False
94,100096.51,0,0,0,37,0,0,12.100717685412471,False,True,False,False
22,100000.0,1,0,1,43,2,0,13.815507557959775,False,True,False,False
42,200000.0,1,0,1,53,3,0,13.815507557959775,False,True,False,False
12,500000.0,0,1,1,45,1,0,12.899212326061994,False,True,False,False
88,149029.58,1,5,0,75,0,0,13.208096151615411,False,True,False,False
12,100000.0,1,5,1,60,0,0,13.122349377306328,False,True,False,False
32,200000.0,1,0,1,63,1,0,13.710151153416941,False,True,False,False
12,250000.07,0,5,1,68,3,0,13.208096151615411,False,True,False,False
22,100000.42,1,5,0,65,3,0,13.208096151615411,False,True,False,False
12,177738.0,1,0,1,37,3,3,12.611541086966115,False,True,False,False
17,300002.4,1,0,1,67,2,1,14.690979711984754,False,True,False,False
40,100000.0,0,0,1,54,2,0,13.304686600863562,False,True,False,False
12,100800.0,0,0,1,41,1,1,12.345804152659577,False,True,False,False
12,100000.0,1,0,1,37,3,0,13.017005083966255,False,True,False,False
97,100513.44,1,5,0,60,0,2,13.208096151615411,False,True,False,False
17,102189.14,1,5,0,65,3,3,13.208096151615411,False,True,False,False
17,128803.68,0,3,0,66,1,1,13.753631962751733,False,True,False,False
90,100717.29,0,0,0,43,0,0,12.847908110480267,False,True,False,False
66,100000.0,0,0,1,26,1,0,12.429204196772384,False,True,False,False
12,199996.0,1,0,1,35,2,2,13.592373256630534,False,True,False,False
12,300001.0,1,0,1,26,0,0,12.468456140581987,False,False,True,False
12,1000004.99,1,0,1,60,1,0,14.403297778421795,False,True,False,False
41,200000.0,1,0,1,53,0,0,12.899212326061994,False,False,True,False
55,127445.25,0,0,0,50,3,0,13.081543466215237,False,True,False,False
32,100000.0,0,0,1,63,1,0,12.899212326061994,False,True,False,False
27,235949.16,1,0,0,34,1,1,14.862829903121964,False,True,False,False
12,100000.0,0,0,1,25,0,0,12.468456140581987,False,False,True,False
43,500000.0,1,0,1,51,2,0,14.15198636600768,False,True,False,False
17,123599.64,1,5,0,58,3,1,13.208096151615411,False,True,False,False
31,120000.96,1,0,1,53,3,1,13.122373377354329,False,True,False,False
15,100000.0,1,5,1,70,1,3,13.208096151615411,False,True,False,False
12,996542.0,1,1,1,29,1,0,14.220976332738882,False,True,False,False
41,100000.0,0,0,1,54,0,0,12.899212326061994,False,False,True,False
12,189999.92,0,1,1,48,2,0,13.122349377306328,False,True,False,False
17,152719.72,1,0,0,59,1,3,12.611541086966115,False,True,False,False
17,100000.44,0,1,0,47,2,0,12.577612063740299,False,True,False,False
27,100000.0,1,0,1,36,2,3,12.899212326061994,False,True,False,False
22,124298.49,0,0,1,60,1,0,12.765702719077842,False,True,False,False
21,500000.0,1,0,1,74,2,0,14.731800089837709,False,True,False,False
97,103090.73,0,1,0,33,0,0,14.457362865188054,False,True,False,False
12,499999.99,1,1,1,51,2,0,14.994633444828075,False,True,False,False
12,100000.8,1,0,1,25,0,1,13.122373377354329,False,False,True,False
12,200000.0,1,0,1,35,0,0,15.201804169083884,False,False,True,False
45,100000.0,1,0,1,50,1,3,13.122373377354329,False,True,False,False
55,576000.0,1,0,1,39,3,0,14.220976332738882,False,True,False,False
57,100515.04,1,0,0,48,1,0,12.899212326061994,False,True,False,False
17,120000.0,1,0,1,30,3,0,13.122373377354329,False,True,False,False
17,182783.4,1,1,0,40,2,1,13.122349377306328,False,True,False,False
17,100515.25,0,0,0,28,2,0,13.592358256611783,False,True,False,False
17,120000.96,1,0,1,57,3,1,14.10319258678548,False,True,False,False
12,100000.0,1,0,1,36,2,0,13.122373377354329,False,True,False,False
22,197012.12,0,1,0,43,2,0,14.151977794572987,False,True,False,False
17,120000.24,1,0,0,55,1,1,13.304686600863562,False,True,False,False
12,150001.08,1,1,1,52,1,1,13.592358256611783,False,True,False,False
17,111337.2,1,5,0,64,2,1,13.208096151615411,False,True,False,False
12,120000.0,1,0,1,76,0,0,13.122349377306328,False,True,False,False
17,120273.87,1,0,0,70,2,0,13.815507557959775,False,True,False,False
17,100000.0,1,0,1,24,0,3,12.301369188877887,False,False,True,False
17,100000.0,1,0,1,44,3,0,13.022907616540765,False,True,False,False
22,119998.32,1,0,0,50,1,1,14.260197020251155,False,True,False,False
12,180001.44,1,0,1,46,3,1,12.577653443193336,False,True,False,False
17,119989.68,1,0,0,30,1,1,13.304686600863562,False,True,False,False
12,100200.72,1,0,1,77,0,1,14.10319258678548,False,True,False,False
39,200000.0,1,0,1,55,1,0,13.815507557959775,False,True,False,False
22,103090.16,1,0,0,64,3,0,13.122349377306328,False,True,False,False
12,240001.92,1,0,1,46,3,1,13.815507557959775,False,True,False,False
12,350000.0,0,1,1,30,2,0,13.864301674514206,False,True,False,False
12,200000.0,1,0,1,24,0,0,13.122373377354329,False,False,True,False
55,100515.42,1,4,0,50,2,0,13.122373377354329,False,True,False,False
70,100000.0,0,0,1,23,0,0,12.899212326061994,False,False,True,False
12,100001.76,1,0,1,50,2,1,13.815507557959775,False,True,False,False
12,147601.08,1,1,1,45,1,1,12.611541086966115,False,True,False,False
12,120000.96,1,0,1,23,0,1,12.899212326061994,False,False,True,False
41,300000.0,0,0,1,53,0,0,13.017005083966255,False,False,False,True
73,100000.35,1,0,0,29,2,0,13.217668102648323,False,True,False,False
17,100514.17,1,0,0,51,3,0,13.458831328302072,False,True,False,False
60,120000.43,1,5,0,67,3,0,13.208096151615411,False,True,False,False
27,100000.0,1,0,1,61,0,0,14.10319258678548,False,True,False,False
21,100000.0,0,0,1,63,3,2,12.611541086966115,False,True,False,False
22,100000.42,1,5,0,76,0,0,13.208096151615411,False,True,False,False
12,199999.99,1,0,1,57,1,0,13.304686600863562,False,True,False,False
21,100000.0,1,0,1,54,1,0,12.899212326061994,False,True,False,False
27,100000.0,1,0,1,24,0,0,14.030619518223455,False,False,True,False
27,200000.0,1,0,1,59,1,0,14.10319258678548,False,True,False,False
12,100000.0,1,0,1,59,0,0,13.304686600863562,False,True,False,False
57,300000.0,1,0,1,37,2,0,14.34614175019859,False,True,False,False
22,150000.08,1,0,0,38,3,0,13.997832948091215,False,True,False,False
25,200000.0,1,0,1,69,1,0,13.304686600863562,False,True,False,False
33,200000.0,1,0,1,62,3,0,13.815507557959775,False,True,False,False
45,160000.0,1,0,1,50,2,2,13.592373256630534,False,True,False,False
27,120000.0,1,0,1,34,1,3,14.212944166417959,False,True,False,False
17,100000.0,1,0,1,46,2,0,13.304686600863562,False,True,False,False
